329	3534591073862641924.wav	Вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд.	вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд	в а й | с о л и | 1 9 4 5 | б а | д а с т а | ш о м и л | ш у д | в а | т о | с о л и | 1 9 5 8 | д а | ҳ а м и н | т и м | м о н д |	117120	MALE
1003	17551744068138244966.wav	Ҳамчунин талаффуз кардани r ва rr-ро дар хотир доред: маънои калимаи "car"\n"маҳбуб/азиз" буда, калимаи "carro" маънои "аробаи дучарха"-ро дорад.	ҳамчунин талаффуз кардани r ва rr-ро дар хотир доред: маънои калимаи car"\n"маҳбуб/азиз буда калимаи carro маънои аробаи дучарха"-ро дорад	ҳ а м ч у н и н | т а л а ф ф у з | к а р д а н и | r | в а | r r - р о | д а р | х о т и р | д о р е д : | м а ъ н о и | к а л и м а и | c a r " \ n " м а ҳ б у б / а з и з | б у д а | к а л и м а и | c a r r o | м а ъ н о и | а р о б а и | д у ч а р х а " - р о | д о р а д |	203520	FEMALE
1379	15785316922501293174.wav	Тақрибан 60 ҳолати бекор гаштани iPod-ҳои корношоям ба қайд гирифта шудаанд, ки умуман ба 6 ҳолатҳои сӯхтор оварда, чор нафар сӯхтаҳои хурд гирифтанд.	тақрибан 60 ҳолати бекор гаштани ipod-ҳои корношоям ба қайд гирифта шудаанд ки умуман ба 6 ҳолатҳои сӯхтор оварда чор нафар сӯхтаҳои хурд гирифтанд	т а қ р и б а н | 6 0 | ҳ о л а т и | б е к о р | г а ш т а н и | i p o d - ҳ о и | к о р н о ш о я м | б а | қ а й д | г и р и ф т а | ш у д а а н д | к и | у м у м а н | б а | 6 | ҳ о л а т ҳ о и | с ӯ х т о р | о в а р д а | ч о р | н а ф а р | с ӯ х т а ҳ о и | х у р д | г и р и ф т а н д |	228480	FEMALE
642	17928308654360231500.wav	Ба ғайр аз он, маҳдудиятҳои вақт камтар буда, имконоти соатҳои кории чандир низ вуҷуд доранд. (Бремер, 1998)	ба ғайр аз он маҳдудиятҳои вақт камтар буда имконоти соатҳои кории чандир низ вуҷуд доранд. бремер 1998	б а | ғ а й р | а з | о н | м а ҳ д у д и я т ҳ о и | в а қ т | к а м т а р | б у д а | и м к о н о т и | с о а т ҳ о и | к о р и и | ч а н д и р | н и з | в у ҷ у д | д о р а н д . | б р е м е р | 1 9 9 8 |	205440	MALE
1416	1277013401211045529.wav	Мутатсияҳо вобаста ба навъи мутатсия, аҳамияти пораи зарардидаи маводи генетикӣ ва ҳуҷайраҳои ҷанинӣ будани ҳуҷайраҳои зарардида метавонанд ба таври гуногун таъсир расонанд.	мутатсияҳо вобаста ба навъи мутатсия аҳамияти пораи зарардидаи маводи генетикӣ ва ҳуҷайраҳои ҷанинӣ будани ҳуҷайраҳои зарардида метавонанд ба таври гуногун таъсир расонанд	м у т а т с и я ҳ о | в о б а с т а | б а | н а в ъ и | м у т а т с и я | а ҳ а м и я т и | п о р а и | з а р а р д и д а и | м а в о д и | г е н е т и к ӣ | в а | ҳ у ҷ а й р а ҳ о и | ҷ а н и н ӣ | б у д а н и | ҳ у ҷ а й р а ҳ о и | з а р а р д и д а | м е т а в о н а н д | б а | т а в р и | г у н о г у н | т а ъ с и р | р а с о н а н д |	282240	FEMALE
264	5893821689137898081.wav	Комиссар изҳор намуд: «Мо ҳанӯз дар бораи қоидаҳои пайдоиш ва тахфифҳои тарифӣ ба мувофиқа нарасидаем, лекин чорчӯбаҳои мо барои савдо аз 1 июли соли 2020 кофь мебошад".	комиссар изҳор намуд: «мо ҳанӯз дар бораи қоидаҳои пайдоиш ва тахфифҳои тарифӣ ба мувофиқа нарасидаем лекин чорчӯбаҳои мо барои савдо аз 1 июли соли 2020 кофь мебошад	к о м и с с а р | и з ҳ о р | н а м у д : | « м о | ҳ а н ӯ з | д а р | б о р а и | қ о и д а ҳ о и | п а й д о и ш | в а | т а х ф и ф ҳ о и | т а р и ф ӣ | б а | м у в о ф и қ а | н а р а с и д а е м | л е к и н | ч о р ч ӯ б а ҳ о и | м о | б а р о и | с а в д о | а з | 1 | и ю л и | с о л и | 2 0 2 0 | к о ф ь | м е б о ш а д |	215040	MALE
224	10714675476227705028.wav	Блейк ҳамчунин барои кӯшиш кардани таҳрифи роҳи адолат дар маҳкумият гузошта шуд.	блейк ҳамчунин барои кӯшиш кардани таҳрифи роҳи адолат дар маҳкумият гузошта шуд	б л е й к | ҳ а м ч у н и н | б а р о и | к ӯ ш и ш | к а р д а н и | т а ҳ р и ф и | р о ҳ и | а д о л а т | д а р | м а ҳ к у м и я т | г у з о ш т а | ш у д |	167040	FEMALE
887	8928128123000082843.wav	Антарктида хунуктарин маҳал дар кӯраи Замин буда, Қутби Ҷанубиро иҳота кардааст.	антарктида хунуктарин маҳал дар кӯраи замин буда қутби ҷанубиро иҳота кардааст	а н т а р к т и д а | х у н у к т а р и н | м а ҳ а л | д а р | к ӯ р а и | з а м и н | б у д а | қ у т б и | ҷ а н у б и р о | и ҳ о т а | к а р д а а с т |	96960	MALE
940	13564155478942681561.wav	Ҳатман аниқ кунед, ки шумо чиро метавонед ва наметавонед биёред ва ҳар он чизе, ки аз маҳдудияти қонунӣ берун аст, расман қайд кунед.	ҳатман аниқ кунед ки шумо чиро метавонед ва наметавонед биёред ва ҳар он чизе ки аз маҳдудияти қонунӣ берун аст расман қайд кунед	ҳ а т м а н | а н и қ | к у н е д | к и | ш у м о | ч и р о | м е т а в о н е д | в а | н а м е т а в о н е д | б и ё р е д | в а | ҳ а р | о н | ч и з е | к и | а з | м а ҳ д у д и я т и | қ о н у н ӣ | б е р у н | а с т | р а с м а н | қ а й д | к у н е д |	238080	FEMALE
814	7785374018658119874.wav	Роҳпаймоии якрӯза бо пайроҳаи осон омодагии камро талаб мекунад ва ҳар як шахс бо даромади хоксор метавонад аз он баҳравар шавад.	роҳпаймоии якрӯза бо пайроҳаи осон омодагии камро талаб мекунад ва ҳар як шахс бо даромади хоксор метавонад аз он баҳравар шавад	р о ҳ п а й м о и и | я к р ӯ з а | б о | п а й р о ҳ а и | о с о н | о м о д а г и и | к а м р о | т а л а б | м е к у н а д | в а | ҳ а р | я к | ш а х с | б о | д а р о м а д и | х о к с о р | м е т а в о н а д | а з | о н | б а ҳ р а в а р | ш а в а д |	231360	FEMALE
1506	9024034181465139968.wav	Ба сайёҳони ба осонӣ ба фарҳанги нав мутобиқшаванда баъзан барои фарҳанги ватании худ одат кардан душвор мегардад.	ба сайёҳони ба осонӣ ба фарҳанги нав мутобиқшаванда баъзан барои фарҳанги ватании худ одат кардан душвор мегардад	б а | с а й ё ҳ о н и | б а | о с о н ӣ | б а | ф а р ҳ а н г и | н а в | м у т о б и қ ш а в а н д а | б а ъ з а н | б а р о и | ф а р ҳ а н г и | в а т а н и и | х у д | о д а т | к а р д а н | д у ш в о р | м е г а р д а д |	234240	FEMALE
455	13292014865221826786.wav	Камбудии объективҳои зум дар он мебошад, ки мураккабии фокусӣ ва шумораи элементҳои объективҳое, ки барои ноил шудан ба доираи дарозии фокусӣ заруранд, нисбат ба объективҳои аввалиндараҷа зиёдтаранд.	камбудии объективҳои зум дар он мебошад ки мураккабии фокусӣ ва шумораи элементҳои объективҳое ки барои ноил шудан ба доираи дарозии фокусӣ заруранд нисбат ба объективҳои аввалиндараҷа зиёдтаранд	к а м б у д и и | о б ъ е к т и в ҳ о и | з у м | д а р | о н | м е б о ш а д | к и | м у р а к к а б и и | ф о к у с ӣ | в а | ш у м о р а и | э л е м е н т ҳ о и | о б ъ е к т и в ҳ о е | к и | б а р о и | н о и л | ш у д а н | б а | д о и р а и | д а р о з и и | ф о к у с ӣ | з а р у р а н д | н и с б а т | б а | о б ъ е к т и в ҳ о и | а в в а л и н д а р а ҷ а | з и ё д т а р а н д |	326400	FEMALE
